Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
104621_double_stripe_group_tanaos,rec,SkyScan 2214,2021-05-25 09:47:31,5.499452,55.0,140.0,False,1021,,False,0.2,"(3070, 1944)",3719.0,1,3719.0,,,0.17046
104661_Enterochromis_I_new_invasive,rec,SkyScan 1272,2021-11-17 17:52:49,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19048.0,1,19048.0,13.0,,0.279845
104661_Enterochromis_I_new_invasive,rec_rereconstruct,SkyScan 1272,2021-11-17 17:52:49,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19048.0,1,19048.0,13.0,,0.369932
104661_Enterochromis_I_new_invasive,rec_rereconstruct_smoothing,SkyScan 1272,2021-11-17 17:52:49,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19048.0,1,19048.0,13.0,,0.369932
104671_156645,104671_rec,SkyScan 2214,2021-04-19 10:11:24,10.13772,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3134.0,1,3134.0,,,0.075211
104671_156645,156645_rec,SkyScan 2214,2021-04-19 10:11:24,10.13772,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3134.0,1,3134.0,,,0.126274
104671_EnterochromisxPlatytaeniodus_new_degeni,head.rec,SkyScan 2214,2021-10-28 14:50:14,19.999749,70.0,140.0,False,720,,False,0.2,"(1536, 972)",2336.0,1,2336.0,,,0.135582
104671_EnterochromisxPlatytaeniodus_new_degeni,head.rec2,SkyScan 2214,2021-10-28 15:44:36,19.999749,70.0,140.0,False,720,,False,0.2,"(1536, 972)",2333.0,1,2333.0,,,0.111818
104671_EnterochromisxPlatytaeniodus_new_degeni,rec,SkyScan 2214,2021-10-28 12:23:33,10.735332,70.0,140.0,False,720,,False,0.15,"(1536, 972)",3122.0,1,3122.0,,,0.104601
104671_EnterochromisxPlatytaeniodus_new_degeni,rec_07um,SkyScan 2214,2022-03-23 11:53:07,7.000603,70.0,134.0,False,777,,False,0.1,"(3072, 1944)",6519.0,1,6519.0,,,0.140668
104856_Enterochromis_II_cf_morsei,head.rec,SkyScan 2214,2022-04-11 11:05:55,16.99969,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6546.0,1,6546.0,,,0.195785
